,Disease,Symptom
11910,Diabetes , irregular_sugar_level
11911,Diabetes , blurred_and_distorted_vision
11912,Diabetes , obesity
11913,Diabetes , excessive_hunger
11914,Diabetes , increased_appetite
11915,Diabetes , polyuria
11916,Diabetes , weight_loss
11917,Diabetes , restlessness
11918,Diabetes , lethargy
11919,Diabetes , irregular_sugar_level
11920,Diabetes , blurred_and_distorted_vision
11921,Diabetes , obesity
11922,Diabetes , excessive_hunger
11923,Diabetes , increased_appetite
11924,Diabetes , polyuria
11925,Diabetes , fatigue
11926,Diabetes , restlessness
11927,Diabetes , lethargy
11928,Diabetes , irregular_sugar_level
11929,Diabetes , blurred_and_distorted_vision
11930,Diabetes , obesity
11931,Diabetes , excessive_hunger
11932,Diabetes , increased_appetite
11933,Diabetes , polyuria
11934,Diabetes , fatigue
11935,Diabetes , weight_loss
11936,Diabetes , lethargy
11937,Diabetes , irregular_sugar_level
11938,Diabetes , blurred_and_distorted_vision
11939,Diabetes , obesity
11940,Diabetes , excessive_hunger
11941,Diabetes , increased_appetite
11942,Diabetes , polyuria
11943,Diabetes , fatigue
11944,Diabetes , weight_loss
11945,Diabetes , restlessness
11946,Diabetes , irregular_sugar_level
11947,Diabetes , blurred_and_distorted_vision
11948,Diabetes , obesity
11949,Diabetes , excessive_hunger
11950,Diabetes , increased_appetite
11951,Diabetes , polyuria
11952,Diabetes , fatigue
11953,Diabetes , weight_loss
11954,Diabetes , restlessness
11955,Diabetes , lethargy
11956,Diabetes , blurred_and_distorted_vision
11957,Diabetes , obesity
11958,Diabetes , excessive_hunger
11959,Diabetes , increased_appetite
11960,Diabetes , polyuria
11961,Diabetes , fatigue
11962,Diabetes , weight_loss
11963,Diabetes , restlessness
11964,Diabetes , lethargy
11965,Diabetes , irregular_sugar_level
11966,Diabetes , obesity
11967,Diabetes , excessive_hunger
11968,Diabetes , increased_appetite
11969,Diabetes , polyuria
11970,Diabetes , fatigue
11971,Diabetes , weight_loss
11972,Diabetes , restlessness
11973,Diabetes , lethargy
11974,Diabetes , irregular_sugar_level
11975,Diabetes , blurred_and_distorted_vision
11976,Diabetes , excessive_hunger
11977,Diabetes , increased_appetite
11978,Diabetes , polyuria
11979,Diabetes , fatigue
11980,Diabetes , weight_loss
11981,Diabetes , restlessness
11982,Diabetes , lethargy
11983,Diabetes , irregular_sugar_level
11984,Diabetes , blurred_and_distorted_vision
11985,Diabetes , obesity
11986,Diabetes , increased_appetite
11987,Diabetes , polyuria
11988,Gastroenteritis, vomiting
11989,Gastroenteritis, sunken_eyes
11990,Gastroenteritis, dehydration
11991,Gastroenteritis, diarrhoea
11992,Gastroenteritis, vomiting
11993,Gastroenteritis, sunken_eyes
11994,Gastroenteritis, dehydration
11995,Gastroenteritis, diarrhoea
11996,Gastroenteritis, sunken_eyes
11997,Gastroenteritis, dehydration
11998,Gastroenteritis, diarrhoea
11999,Gastroenteritis, vomiting
12000,Gastroenteritis, dehydration
12001,Gastroenteritis, diarrhoea
12002,Gastroenteritis, vomiting
12003,Gastroenteritis, sunken_eyes
12004,Gastroenteritis, diarrhoea
12005,Gastroenteritis, vomiting
12006,Gastroenteritis, sunken_eyes
12007,Gastroenteritis, dehydration
12008,Gastroenteritis, vomiting
12009,Gastroenteritis, sunken_eyes
12010,Gastroenteritis, dehydration
12011,Gastroenteritis, diarrhoea
12012,Gastroenteritis, sunken_eyes
12013,Gastroenteritis, dehydration
12014,Gastroenteritis, diarrhoea
12015,Gastroenteritis, vomiting
12016,Gastroenteritis, dehydration
12017,Gastroenteritis, diarrhoea
12018,Gastroenteritis, vomiting
12019,Gastroenteritis, sunken_eyes
12020,Gastroenteritis, diarrhoea
12021,Bronchial Asthma, fatigue
12022,Bronchial Asthma, cough
12023,Bronchial Asthma, high_fever
12024,Bronchial Asthma, breathlessness
12025,Bronchial Asthma, family_history
12026,Bronchial Asthma, mucoid_sputum
12027,Bronchial Asthma, cough
12028,Bronchial Asthma, high_fever
12029,Bronchial Asthma, breathlessness
12030,Bronchial Asthma, family_history
12031,Bronchial Asthma, mucoid_sputum
12032,Bronchial Asthma, fatigue
12033,Bronchial Asthma, high_fever
12034,Bronchial Asthma, breathlessness
12035,Bronchial Asthma, family_history
12036,Bronchial Asthma, mucoid_sputum
12037,Bronchial Asthma, fatigue
12038,Bronchial Asthma, cough
12039,Bronchial Asthma, breathlessness
12040,Bronchial Asthma, family_history
12041,Bronchial Asthma, mucoid_sputum
12042,Bronchial Asthma, fatigue
12043,Bronchial Asthma, cough
12044,Bronchial Asthma, high_fever
12045,Bronchial Asthma, family_history
12046,Bronchial Asthma, mucoid_sputum
12047,Bronchial Asthma, fatigue
12048,Bronchial Asthma, cough
12049,Bronchial Asthma, high_fever
12050,Bronchial Asthma, breathlessness
12051,Bronchial Asthma, mucoid_sputum
12052,Bronchial Asthma, fatigue
12053,Bronchial Asthma, cough
12054,Bronchial Asthma, high_fever
12055,Bronchial Asthma, breathlessness
12056,Bronchial Asthma, family_history
12057,Bronchial Asthma, fatigue
12058,Bronchial Asthma, cough
12059,Bronchial Asthma, high_fever
12060,Bronchial Asthma, breathlessness
12061,Bronchial Asthma, family_history
12062,Bronchial Asthma, mucoid_sputum
12063,Bronchial Asthma, cough
12064,Bronchial Asthma, high_fever
12065,Bronchial Asthma, breathlessness
12066,Bronchial Asthma, family_history
12067,Bronchial Asthma, mucoid_sputum
12068,Bronchial Asthma, fatigue
12069,Bronchial Asthma, high_fever
12070,Bronchial Asthma, breathlessness
12071,Bronchial Asthma, family_history
12072,Bronchial Asthma, mucoid_sputum
12073,Hypertension , headache
12074,Hypertension , chest_pain
12075,Hypertension , dizziness
12076,Hypertension , loss_of_balance
12077,Hypertension , lack_of_concentration
12078,Hypertension , chest_pain
12079,Hypertension , dizziness
12080,Hypertension , loss_of_balance
12081,Hypertension , lack_of_concentration
12082,Hypertension , headache
12083,Hypertension , dizziness
12084,Hypertension , loss_of_balance
12085,Hypertension , lack_of_concentration
12086,Hypertension , headache
12087,Hypertension , chest_pain
12088,Hypertension , loss_of_balance
12089,Hypertension , lack_of_concentration
12090,Hypertension , headache
12091,Hypertension , chest_pain
12092,Hypertension , dizziness
12093,Hypertension , lack_of_concentration
12094,Hypertension , headache
12095,Hypertension , chest_pain
12096,Hypertension , dizziness
12097,Hypertension , loss_of_balance
12098,Hypertension , headache
12099,Hypertension , chest_pain
12100,Hypertension , dizziness
12101,Hypertension , loss_of_balance
12102,Hypertension , lack_of_concentration
12103,Hypertension , chest_pain
12104,Hypertension , dizziness
12105,Hypertension , loss_of_balance
12106,Hypertension , lack_of_concentration
12107,Hypertension , headache
12108,Hypertension , dizziness
12109,Hypertension , loss_of_balance
12110,Hypertension , lack_of_concentration
12111,Hypertension , headache
12112,Hypertension , chest_pain
12113,Hypertension , loss_of_balance
12114,Hypertension , lack_of_concentration
12115,Migraine, acidity
12116,Migraine, indigestion
12117,Migraine, headache
12118,Migraine, blurred_and_distorted_vision
12119,Migraine, excessive_hunger
12120,Migraine, stiff_neck
12121,Migraine, depression
12122,Migraine, irritability
12123,Migraine, visual_disturbances
12124,Migraine, indigestion
12125,Migraine, headache
12126,Migraine, blurred_and_distorted_vision
12127,Migraine, excessive_hunger
12128,Migraine, stiff_neck
12129,Migraine, depression
12130,Migraine, irritability
12131,Migraine, visual_disturbances
12132,Migraine, acidity
12133,Migraine, headache
12134,Migraine, blurred_and_distorted_vision
12135,Migraine, excessive_hunger
12136,Migraine, stiff_neck
12137,Migraine, depression
12138,Migraine, irritability
12139,Migraine, visual_disturbances
12140,Migraine, acidity
12141,Migraine, indigestion
12142,Migraine, blurred_and_distorted_vision
12143,Migraine, excessive_hunger
12144,Migraine, stiff_neck
12145,Migraine, depression
12146,Migraine, irritability
12147,Migraine, visual_disturbances
12148,Migraine, acidity
12149,Migraine, indigestion
12150,Migraine, headache
12151,Migraine, excessive_hunger
12152,Migraine, stiff_neck
12153,Migraine, depression
12154,Migraine, irritability
12155,Migraine, visual_disturbances
12156,Migraine, acidity
12157,Migraine, indigestion
12158,Migraine, headache
12159,Migraine, blurred_and_distorted_vision
12160,Migraine, stiff_neck
12161,Migraine, depression
12162,Migraine, irritability
12163,Migraine, visual_disturbances
12164,Migraine, acidity
12165,Migraine, indigestion
12166,Migraine, headache
12167,Migraine, blurred_and_distorted_vision
12168,Migraine, excessive_hunger
12169,Migraine, depression
12170,Migraine, irritability
12171,Migraine, visual_disturbances
12172,Migraine, acidity
12173,Migraine, indigestion
12174,Migraine, headache
12175,Migraine, blurred_and_distorted_vision
12176,Migraine, excessive_hunger
12177,Migraine, stiff_neck
12178,Migraine, irritability
12179,Migraine, visual_disturbances
12180,Migraine, acidity
12181,Migraine, indigestion
12182,Migraine, headache
12183,Migraine, blurred_and_distorted_vision
12184,Migraine, excessive_hunger
12185,Migraine, stiff_neck
12186,Migraine, depression
12187,Migraine, visual_disturbances
12188,Migraine, acidity
12189,Migraine, indigestion
12190,Migraine, headache
12191,Migraine, blurred_and_distorted_vision
12192,Migraine, excessive_hunger
12193,Migraine, stiff_neck
12194,Migraine, depression
12195,Migraine, irritability
12196,Cervical spondylosis, back_pain
12197,Cervical spondylosis, weakness_in_limbs
12198,Cervical spondylosis, neck_pain
12199,Cervical spondylosis, dizziness
12200,Cervical spondylosis, loss_of_balance
12201,Cervical spondylosis, back_pain
12202,Cervical spondylosis, weakness_in_limbs
12203,Cervical spondylosis, neck_pain
12204,Cervical spondylosis, dizziness
12205,Cervical spondylosis, loss_of_balance
12206,Cervical spondylosis, weakness_in_limbs
12207,Cervical spondylosis, neck_pain
12208,Cervical spondylosis, dizziness
12209,Cervical spondylosis, loss_of_balance
12210,Cervical spondylosis, back_pain
12211,Cervical spondylosis, neck_pain
12212,Cervical spondylosis, dizziness
12213,Cervical spondylosis, loss_of_balance
12214,Cervical spondylosis, back_pain
12215,Cervical spondylosis, weakness_in_limbs
12216,Cervical spondylosis, dizziness
12217,Cervical spondylosis, loss_of_balance
12218,Cervical spondylosis, back_pain
12219,Cervical spondylosis, weakness_in_limbs
12220,Cervical spondylosis, neck_pain
12221,Cervical spondylosis, loss_of_balance
12222,Cervical spondylosis, back_pain
12223,Cervical spondylosis, weakness_in_limbs
12224,Cervical spondylosis, neck_pain
12225,Cervical spondylosis, dizziness
12226,Cervical spondylosis, back_pain
12227,Cervical spondylosis, weakness_in_limbs
12228,Cervical spondylosis, neck_pain
12229,Cervical spondylosis, dizziness
12230,Cervical spondylosis, loss_of_balance
12231,Cervical spondylosis, weakness_in_limbs
12232,Cervical spondylosis, neck_pain
12233,Cervical spondylosis, dizziness
12234,Cervical spondylosis, loss_of_balance
12235,Cervical spondylosis, back_pain
12236,Cervical spondylosis, neck_pain
12237,Cervical spondylosis, dizziness
12238,Cervical spondylosis, loss_of_balance
12239,Paralysis (brain hemorrhage), vomiting
12240,Paralysis (brain hemorrhage), headache
12241,Paralysis (brain hemorrhage), weakness_of_one_body_side
12242,Paralysis (brain hemorrhage), altered_sensorium
12243,Paralysis (brain hemorrhage), vomiting
12244,Paralysis (brain hemorrhage), headache
12245,Paralysis (brain hemorrhage), weakness_of_one_body_side
12246,Paralysis (brain hemorrhage), altered_sensorium
12247,Paralysis (brain hemorrhage), headache
12248,Paralysis (brain hemorrhage), weakness_of_one_body_side
12249,Paralysis (brain hemorrhage), altered_sensorium
12250,Paralysis (brain hemorrhage), vomiting
12251,Paralysis (brain hemorrhage), weakness_of_one_body_side
12252,Paralysis (brain hemorrhage), altered_sensorium
12253,Paralysis (brain hemorrhage), vomiting
12254,Paralysis (brain hemorrhage), headache
12255,Paralysis (brain hemorrhage), altered_sensorium
12256,Paralysis (brain hemorrhage), vomiting
12257,Paralysis (brain hemorrhage), headache
12258,Paralysis (brain hemorrhage), weakness_of_one_body_side
12259,Paralysis (brain hemorrhage), vomiting
12260,Paralysis (brain hemorrhage), headache
12261,Paralysis (brain hemorrhage), weakness_of_one_body_side
12262,Paralysis (brain hemorrhage), altered_sensorium
12263,Paralysis (brain hemorrhage), headache
12264,Paralysis (brain hemorrhage), weakness_of_one_body_side
12265,Paralysis (brain hemorrhage), altered_sensorium
12266,Paralysis (brain hemorrhage), vomiting
12267,Paralysis (brain hemorrhage), weakness_of_one_body_side
12268,Paralysis (brain hemorrhage), altered_sensorium
12269,Paralysis (brain hemorrhage), vomiting
12270,Paralysis (brain hemorrhage), headache
12271,Paralysis (brain hemorrhage), altered_sensorium
12272,Jaundice,itching
12273,Jaundice, vomiting
12274,Jaundice, fatigue
12275,Jaundice, weight_loss
12276,Jaundice, high_fever
12277,Jaundice, yellowish_skin
12278,Jaundice, dark_urine
12279,Jaundice, abdominal_pain
12280,Jaundice,itching
12281,Jaundice, vomiting
12282,Jaundice, fatigue
12283,Jaundice, weight_loss
12284,Jaundice, high_fever
12285,Jaundice, yellowish_skin
12286,Jaundice, dark_urine
12287,Jaundice, abdominal_pain
12288,Jaundice, vomiting
12289,Jaundice, fatigue
12290,Jaundice, weight_loss
12291,Jaundice, high_fever
12292,Jaundice, yellowish_skin
12293,Jaundice, dark_urine
12294,Jaundice, abdominal_pain
12295,Jaundice,itching
12296,Jaundice, fatigue
12297,Jaundice, weight_loss
12298,Jaundice, high_fever
12299,Jaundice, yellowish_skin
12300,Jaundice, dark_urine
12301,Jaundice, abdominal_pain
12302,Jaundice,itching
12303,Jaundice, vomiting
12304,Jaundice, weight_loss
12305,Jaundice, high_fever
12306,Jaundice, yellowish_skin
12307,Jaundice, dark_urine
12308,Jaundice, abdominal_pain
12309,Jaundice,itching
12310,Jaundice, vomiting
12311,Jaundice, fatigue
12312,Jaundice, high_fever
12313,Jaundice, yellowish_skin
12314,Jaundice, dark_urine
12315,Jaundice, abdominal_pain
12316,Jaundice,itching
12317,Jaundice, vomiting
12318,Jaundice, fatigue
12319,Jaundice, weight_loss
12320,Jaundice, yellowish_skin
12321,Jaundice, dark_urine
12322,Jaundice, abdominal_pain
12323,Jaundice,itching
12324,Jaundice, vomiting
12325,Jaundice, fatigue
12326,Jaundice, weight_loss
12327,Jaundice, high_fever
12328,Jaundice, dark_urine
12329,Jaundice, abdominal_pain
12330,Jaundice,itching
12331,Jaundice, vomiting
12332,Jaundice, fatigue
12333,Jaundice, weight_loss
12334,Jaundice, high_fever
12335,Jaundice, yellowish_skin
12336,Jaundice, abdominal_pain
12337,Jaundice,itching
12338,Jaundice, vomiting
12339,Jaundice, fatigue
12340,Jaundice, weight_loss
12341,Jaundice, high_fever
12342,Jaundice, yellowish_skin
12343,Jaundice, dark_urine
12344,Malaria, chills
12345,Malaria, vomiting
12346,Malaria, high_fever
12347,Malaria, sweating
12348,Malaria, headache
12349,Malaria, nausea
12350,Malaria, muscle_pain
12351,Malaria, chills
12352,Malaria, vomiting
12353,Malaria, high_fever
12354,Malaria, sweating
12355,Malaria, headache
12356,Malaria, nausea
12357,Malaria, diarrhoea
12358,Malaria, muscle_pain
12359,Malaria, chills
12360,Malaria, vomiting
12361,Malaria, high_fever
12362,Malaria, sweating
12363,Malaria, headache
12364,Malaria, nausea
12365,Malaria, diarrhoea
12366,Malaria, muscle_pain
12367,Malaria, vomiting
12368,Malaria, high_fever
12369,Malaria, sweating
12370,Malaria, headache
12371,Malaria, nausea
12372,Malaria, diarrhoea
12373,Malaria, muscle_pain
12374,Malaria, chills
12375,Malaria, high_fever
12376,Malaria, sweating
12377,Malaria, headache
12378,Malaria, nausea
12379,Malaria, diarrhoea
12380,Malaria, muscle_pain
12381,Malaria, chills
12382,Malaria, vomiting
12383,Malaria, sweating
12384,Malaria, headache
12385,Malaria, nausea
12386,Malaria, diarrhoea
12387,Malaria, muscle_pain
12388,Malaria, chills
12389,Malaria, vomiting
12390,Malaria, high_fever
12391,Malaria, headache
12392,Malaria, nausea
12393,Malaria, diarrhoea
12394,Malaria, muscle_pain
12395,Malaria, chills
12396,Malaria, vomiting
12397,Malaria, high_fever
12398,Malaria, sweating
12399,Malaria, nausea
12400,Malaria, diarrhoea
12401,Malaria, muscle_pain
12402,Malaria, chills
12403,Malaria, vomiting
12404,Malaria, high_fever
12405,Malaria, sweating
12406,Malaria, headache
12407,Malaria, diarrhoea
12408,Malaria, muscle_pain
12409,Malaria, chills
12410,Malaria, vomiting
12411,Malaria, high_fever
12412,Malaria, sweating
12413,Malaria, headache
12414,Malaria, nausea
12415,Malaria, muscle_pain
12416,Chicken pox,itching
12417,Chicken pox, skin_rash
12418,Chicken pox, fatigue
12419,Chicken pox, lethargy
12420,Chicken pox, high_fever
12421,Chicken pox, headache
12422,Chicken pox, loss_of_appetite
12423,Chicken pox, mild_fever
12424,Chicken pox, swelled_lymph_nodes
12425,Chicken pox, malaise
12426,Chicken pox, red_spots_over_body
12427,Chicken pox, skin_rash
12428,Chicken pox, fatigue
12429,Chicken pox, lethargy
12430,Chicken pox, high_fever
12431,Chicken pox, headache
12432,Chicken pox, loss_of_appetite
12433,Chicken pox, mild_fever
12434,Chicken pox, swelled_lymph_nodes
12435,Chicken pox, malaise
12436,Chicken pox, red_spots_over_body
12437,Chicken pox,itching
12438,Chicken pox, fatigue
12439,Chicken pox, lethargy
12440,Chicken pox, high_fever
12441,Chicken pox, headache
12442,Chicken pox, loss_of_appetite
12443,Chicken pox, mild_fever
12444,Chicken pox, swelled_lymph_nodes
12445,Chicken pox, malaise
12446,Chicken pox, red_spots_over_body
12447,Chicken pox,itching
12448,Chicken pox, skin_rash
12449,Chicken pox, lethargy
12450,Chicken pox, high_fever
12451,Chicken pox, headache
12452,Chicken pox, loss_of_appetite
12453,Chicken pox, mild_fever
12454,Chicken pox, swelled_lymph_nodes
12455,Chicken pox, malaise
12456,Chicken pox, red_spots_over_body
12457,Chicken pox,itching
12458,Chicken pox, skin_rash
12459,Chicken pox, fatigue
12460,Chicken pox, high_fever
12461,Chicken pox, headache
12462,Chicken pox, loss_of_appetite
12463,Chicken pox, mild_fever
12464,Chicken pox, swelled_lymph_nodes
12465,Chicken pox, malaise
12466,Chicken pox, red_spots_over_body
12467,Chicken pox,itching
12468,Chicken pox, skin_rash
12469,Chicken pox, fatigue
12470,Chicken pox, lethargy
12471,Chicken pox, headache
12472,Chicken pox, loss_of_appetite
12473,Chicken pox, mild_fever
12474,Chicken pox, swelled_lymph_nodes
12475,Chicken pox, malaise
12476,Chicken pox, red_spots_over_body
12477,Chicken pox,itching
12478,Chicken pox, skin_rash
12479,Chicken pox, fatigue
12480,Chicken pox, lethargy
12481,Chicken pox, high_fever
12482,Chicken pox, loss_of_appetite
12483,Chicken pox, mild_fever
12484,Chicken pox, swelled_lymph_nodes
12485,Chicken pox, malaise
12486,Chicken pox, red_spots_over_body
12487,Chicken pox,itching
12488,Chicken pox, skin_rash
12489,Chicken pox, fatigue
12490,Chicken pox, lethargy
12491,Chicken pox, high_fever
12492,Chicken pox, headache
12493,Chicken pox, mild_fever
12494,Chicken pox, swelled_lymph_nodes
12495,Chicken pox, malaise
12496,Chicken pox, red_spots_over_body
12497,Chicken pox,itching
12498,Chicken pox, skin_rash
12499,Chicken pox, fatigue
12500,Chicken pox, lethargy
12501,Chicken pox, high_fever
12502,Chicken pox, headache
12503,Chicken pox, loss_of_appetite
12504,Chicken pox, swelled_lymph_nodes
12505,Chicken pox, malaise
12506,Chicken pox, red_spots_over_body
12507,Chicken pox,itching
12508,Chicken pox, skin_rash
12509,Chicken pox, fatigue
12510,Chicken pox, lethargy
12511,Chicken pox, high_fever
12512,Chicken pox, headache
12513,Chicken pox, loss_of_appetite
12514,Chicken pox, mild_fever
12515,Chicken pox, malaise
12516,Chicken pox, red_spots_over_body
12517,Dengue, skin_rash
12518,Dengue, chills
12519,Dengue, joint_pain
12520,Dengue, vomiting
12521,Dengue, fatigue
12522,Dengue, high_fever
12523,Dengue, headache
12524,Dengue, nausea
12525,Dengue, loss_of_appetite
12526,Dengue, pain_behind_the_eyes
12527,Dengue, back_pain
12528,Dengue, muscle_pain
12529,Dengue, red_spots_over_body
12530,Dengue, skin_rash
12531,Dengue, chills
12532,Dengue, joint_pain
12533,Dengue, vomiting
12534,Dengue, fatigue
12535,Dengue, high_fever
12536,Dengue, headache
12537,Dengue, nausea
12538,Dengue, loss_of_appetite
12539,Dengue, pain_behind_the_eyes
12540,Dengue, back_pain
12541,Dengue, malaise
12542,Dengue, red_spots_over_body
12543,Dengue, skin_rash
12544,Dengue, chills
12545,Dengue, joint_pain
12546,Dengue, vomiting
12547,Dengue, fatigue
12548,Dengue, high_fever
12549,Dengue, headache
12550,Dengue, nausea
12551,Dengue, loss_of_appetite
12552,Dengue, pain_behind_the_eyes
12553,Dengue, back_pain
12554,Dengue, malaise
12555,Dengue, muscle_pain
12556,Dengue, skin_rash
12557,Dengue, chills
12558,Dengue, joint_pain
12559,Dengue, vomiting
12560,Dengue, fatigue
12561,Dengue, high_fever
12562,Dengue, headache
12563,Dengue, nausea
12564,Dengue, loss_of_appetite
12565,Dengue, pain_behind_the_eyes
12566,Dengue, back_pain
12567,Dengue, malaise
12568,Dengue, muscle_pain
12569,Dengue, red_spots_over_body
12570,Dengue, chills
12571,Dengue, joint_pain
12572,Dengue, vomiting
12573,Dengue, fatigue
12574,Dengue, high_fever
12575,Dengue, headache
12576,Dengue, nausea
12577,Dengue, loss_of_appetite
12578,Dengue, pain_behind_the_eyes
12579,Dengue, back_pain
12580,Dengue, malaise
12581,Dengue, muscle_pain
12582,Dengue, red_spots_over_body
12583,Dengue, skin_rash
12584,Dengue, joint_pain
12585,Dengue, vomiting
12586,Dengue, fatigue
12587,Dengue, high_fever
12588,Dengue, headache
12589,Dengue, nausea
12590,Dengue, loss_of_appetite
12591,Dengue, pain_behind_the_eyes
12592,Dengue, back_pain
12593,Dengue, malaise
12594,Dengue, muscle_pain
12595,Dengue, red_spots_over_body
12596,Dengue, skin_rash
12597,Dengue, chills
12598,Dengue, vomiting
12599,Dengue, fatigue
12600,Dengue, high_fever
12601,Dengue, headache
12602,Dengue, nausea
12603,Dengue, loss_of_appetite
12604,Dengue, pain_behind_the_eyes
12605,Dengue, back_pain
12606,Dengue, malaise
12607,Dengue, muscle_pain
12608,Dengue, red_spots_over_body
12609,Dengue, skin_rash
12610,Dengue, chills
12611,Dengue, joint_pain
12612,Dengue, fatigue
12613,Dengue, high_fever
12614,Dengue, headache
12615,Dengue, nausea
12616,Dengue, loss_of_appetite
12617,Dengue, pain_behind_the_eyes
12618,Dengue, back_pain
12619,Dengue, malaise
12620,Dengue, muscle_pain
12621,Dengue, red_spots_over_body
12622,Dengue, skin_rash
12623,Dengue, chills
12624,Dengue, joint_pain
12625,Dengue, vomiting
12626,Dengue, high_fever
12627,Dengue, headache
12628,Dengue, nausea
12629,Dengue, loss_of_appetite
12630,Dengue, pain_behind_the_eyes
12631,Dengue, back_pain
12632,Dengue, malaise
12633,Dengue, muscle_pain
12634,Dengue, red_spots_over_body
12635,Dengue, skin_rash
12636,Dengue, chills
12637,Dengue, joint_pain
12638,Dengue, vomiting
12639,Dengue, fatigue
12640,Dengue, headache
12641,Dengue, nausea
12642,Dengue, loss_of_appetite
12643,Dengue, pain_behind_the_eyes
12644,Dengue, back_pain
12645,Dengue, malaise
12646,Dengue, muscle_pain
12647,Dengue, red_spots_over_body
12648,Typhoid, chills
12649,Typhoid, vomiting
12650,Typhoid, fatigue
12651,Typhoid, high_fever
12652,Typhoid, nausea
12653,Typhoid, constipation
12654,Typhoid, abdominal_pain
12655,Typhoid, diarrhoea
12656,Typhoid, toxic_look_(typhos)
12657,Typhoid, belly_pain
12658,Typhoid, chills
12659,Typhoid, vomiting
12660,Typhoid, fatigue
12661,Typhoid, high_fever
12662,Typhoid, headache
12663,Typhoid, constipation
12664,Typhoid, abdominal_pain
12665,Typhoid, diarrhoea
12666,Typhoid, toxic_look_(typhos)
12667,Typhoid, belly_pain
12668,Typhoid, chills
12669,Typhoid, vomiting
12670,Typhoid, fatigue
12671,Typhoid, high_fever
12672,Typhoid, headache
12673,Typhoid, nausea
12674,Typhoid, abdominal_pain
12675,Typhoid, diarrhoea
12676,Typhoid, toxic_look_(typhos)
12677,Typhoid, belly_pain
12678,Typhoid, chills
12679,Typhoid, vomiting
12680,Typhoid, fatigue
12681,Typhoid, high_fever
12682,Typhoid, headache
12683,Typhoid, nausea
12684,Typhoid, constipation
12685,Typhoid, diarrhoea
12686,Typhoid, toxic_look_(typhos)
12687,Typhoid, belly_pain
12688,Typhoid, chills
12689,Typhoid, vomiting
12690,Typhoid, fatigue
12691,Typhoid, high_fever
12692,Typhoid, headache
12693,Typhoid, nausea
12694,Typhoid, constipation
12695,Typhoid, abdominal_pain
12696,Typhoid, toxic_look_(typhos)
12697,Typhoid, belly_pain
12698,Typhoid, chills
12699,Typhoid, vomiting
12700,Typhoid, fatigue
12701,Typhoid, high_fever
12702,Typhoid, headache
12703,Typhoid, nausea
12704,Typhoid, constipation
12705,Typhoid, abdominal_pain
12706,Typhoid, diarrhoea
12707,Typhoid, belly_pain
12708,Typhoid, chills
12709,Typhoid, vomiting
12710,Typhoid, fatigue
12711,Typhoid, high_fever
12712,Typhoid, headache
12713,Typhoid, nausea
12714,Typhoid, constipation
12715,Typhoid, abdominal_pain
12716,Typhoid, diarrhoea
12717,Typhoid, toxic_look_(typhos)
12718,Typhoid, chills
12719,Typhoid, vomiting
12720,Typhoid, fatigue
12721,Typhoid, high_fever
12722,Typhoid, headache
12723,Typhoid, nausea
12724,Typhoid, constipation
12725,Typhoid, abdominal_pain
12726,Typhoid, diarrhoea
12727,Typhoid, toxic_look_(typhos)
12728,Typhoid, belly_pain
12729,Typhoid, chills
12730,Typhoid, vomiting
12731,Typhoid, fatigue
12732,Typhoid, high_fever
12733,Typhoid, headache
12734,Typhoid, nausea
12735,Typhoid, constipation
12736,Typhoid, abdominal_pain
12737,Typhoid, diarrhoea
12738,Typhoid, toxic_look_(typhos)
12739,Typhoid, belly_pain
12740,Typhoid, chills
12741,Typhoid, fatigue
12742,Typhoid, high_fever
12743,Typhoid, headache
12744,Typhoid, nausea
12745,Typhoid, constipation
12746,Typhoid, abdominal_pain
12747,Typhoid, diarrhoea
12748,Typhoid, toxic_look_(typhos)
12749,Typhoid, belly_pain
12750,hepatitis A, joint_pain
12751,hepatitis A, vomiting
12752,hepatitis A, yellowish_skin
12753,hepatitis A, dark_urine
12754,hepatitis A, nausea
12755,hepatitis A, loss_of_appetite
12756,hepatitis A, abdominal_pain
12757,hepatitis A, diarrhoea
12758,hepatitis A, mild_fever
12759,hepatitis A, yellowing_of_eyes
12760,hepatitis A, muscle_pain
12761,hepatitis A, joint_pain
12762,hepatitis A, vomiting
12763,hepatitis A, yellowish_skin
12764,hepatitis A, dark_urine
12765,hepatitis A, nausea
12766,hepatitis A, loss_of_appetite
12767,hepatitis A, abdominal_pain
12768,hepatitis A, diarrhoea
12769,hepatitis A, mild_fever
12770,hepatitis A, yellowing_of_eyes
12771,hepatitis A, muscle_pain
12772,hepatitis A, vomiting
12773,hepatitis A, yellowish_skin
12774,hepatitis A, dark_urine
12775,hepatitis A, nausea
12776,hepatitis A, loss_of_appetite
12777,hepatitis A, abdominal_pain
12778,hepatitis A, diarrhoea
12779,hepatitis A, mild_fever
12780,hepatitis A, yellowing_of_eyes
12781,hepatitis A, muscle_pain
12782,hepatitis A, joint_pain
12783,hepatitis A, yellowish_skin
12784,hepatitis A, dark_urine
12785,hepatitis A, nausea
12786,hepatitis A, loss_of_appetite
12787,hepatitis A, abdominal_pain
12788,hepatitis A, diarrhoea
12789,hepatitis A, mild_fever
12790,hepatitis A, yellowing_of_eyes
12791,hepatitis A, muscle_pain
12792,hepatitis A, joint_pain
12793,hepatitis A, vomiting
12794,hepatitis A, dark_urine
12795,hepatitis A, nausea
12796,hepatitis A, loss_of_appetite
